Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.6285691954872825,0.2712846164192472,97.24770642201835
2,0.23851375688206067,0.16173748831663812,95.87155963302752
3,0.15875369892878965,0.11977583968213626,98.62385321100918
4,0.12650049728426066,0.09109740970390183,99.08256880733946
5,0.09739110998132013,0.0794738701411656,98.62385321100918
6,0.08936451490629803,0.08349021723760026,97.24770642201835
7,0.0772737191143361,0.06703627402228969,98.62385321100918
8,0.06811446473002433,0.05987930271242346,99.08256880733946
9,0.05930368341505528,0.05903973802924156,98.62385321100918
10,0.05579214309426871,0.05376520114285605,98.62385321100918
