Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.5221722142262892,0.23308444236006057,93.57798165137615
2,0.19852799773216248,0.17354428129536764,94.95412844036697
3,0.1436482941562479,0.1222507714160851,96.78899082568807
4,0.10369754088195887,0.09827298218650478,97.70642201834862
5,0.0895311619409106,0.09785514058811325,97.70642201834862
6,0.07712868272580883,0.07663003169000149,97.70642201834862
7,0.07048391293395649,0.11110490480703968,95.87155963302752
8,0.0775450364093889,0.06771024875342846,99.08256880733946
9,0.056676402942023495,0.057530914300254414,98.1651376146789
10,0.051458145694976504,0.055318637884088924,99.08256880733946
