Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.38425042606159177,0.1452858542904362,98.62385321100918
2,0.09687148695380601,0.07861130773998834,98.62385321100918
3,0.07825182326320029,0.4580564802246427,97.70642201834862
4,0.0874886683061122,0.22564172501526109,99.08256880733946
5,0.20580784304116487,0.2813565681833227,99.08256880733946
6,0.11438487862530126,0.0901112998170186,99.08256880733946
7,0.18690910490024448,1.476604129852993,95.41284403669725
8,0.15231461071605282,0.026925740878864093,99.54128440366972
9,0.08379163356698821,0.5805241715691969,98.62385321100918
10,0.19459979152689624,0.25235458782741,99.54128440366972
